	X1489	X2590	X2529	X1105	X1785	X2290	X1428	X1923	X1563	X1430	X1466	X1552	X1467	X2432	X1321	X1545	X2288	X1693	X1556	X2267	X2260
A1BG	19.335905648	18.990349664	19.177767456	19.608470376	18.993588432	18.824719064	19.08963548	19.438976056	19.467935504	19.065201808	19.236162872	19.50978128	19.248008952	19.266519264	19.37696448	19.193722	19.12838268	19.098504752	19.758248456	19.77961628	19.004901872
A2M	18.758746864	18.402938416	19.246927536	18.893975968	18.911308232	18.680421072	18.133973128	18.743017016	19.187981968	18.824953072	19.15788748	19.704353104	19.511021712	19.375971976	19.04174232	18.695015504	19.172000728	18.794163992	19.306901104	19.410930464	18.810849048
AAAS	18.308219	17.860670088	18.074143544	18.377175096	17.838231376	18.448942568	18.159379536	18.039134976	17.85860616	17.682418984	18.197792912	18.490451528	18.0816606	18.13768092	18.039075824	17.950741032	18.269943224	17.829475496	17.712715	18.157789744	18.270449544
AAK1	19.155505728	19.160934648	19.504318912	18.935304728	19.069388872	19.491481464	18.988692416	19.148607592	19.453780136	19.216449496	19.187908432	19.259331136	19.172421056	18.990828608	18.975488536	19.029284272	19.151629464	19.177098976	19.34633352	19.302746072	19.003367232
AAMDC	21.223828864	19.543485936	19.6083316	19.36629896	19.570618864	19.70963744	19.8999694	20.628116504	19.978302224	19.702749488	20.63830756	19.824371792	19.7508814354447	19.9529602118528	20.1800444869931	19.7546059699772	19.8926506454869	19.9802824639637	20.109390304	20.0353984	19.87382224
AAMP	19.808491216	19.262199168	18.844075864	19.458315168	19.535869152	19.093181728	19.034158952	19.31733148	19.196263688	19.38353604	19.606324752	18.931602984	19.29913936	19.069838984	19.551976352	19.36690612	19.323908976	19.180948344	19.207618416	19.029809432	19.320786456
AARS	18.917077688	19.480015656	19.27565904	19.03073616	18.75711704	19.385292744	19.157294752	18.752618536	18.961533792	19.078161272	19.028756744	18.90468632	18.53223292	18.997501888	19.606820832	18.8945808	19.165870136	19.009616576	19.283273184	18.982541736	19.00422052
AARS2	17.265300592	16.90326988	16.909661296	17.185272288	17.086785976	17.092511704	17.254997752	16.546710224	16.679329952	17.212979352	17.084212856	16.87229756	17.098449008	17.165788448	17.175252456	16.942906696	16.847679368	17.248388552	17.022441797339	17.1651757314586	17.2119506883269
AASDHPPT	19.557854208	18.560167432	18.203690344	18.469585992	18.496098568	18.406336744	18.854262032	18.253867496	18.414228744	18.527488432	18.576846912	18.437081688	18.40946108	18.682402624	18.43027628	18.275221592	18.645179984	18.789338368	18.200823704	18.682170664	18.35267684
ABAT	18.152378016	16.635403408	17.769396288	17.196572216	18.10105836	16.651032936	17.527901192	18.382355248	17.23223692	17.267858888	18.672395416	17.318040904	16.872623344	17.934410384	17.895001496	17.378797136	17.345444384	18.499127192	17.427712824	17.615990528	18.28394876
ABCB7	18.032817832	18.131992312	17.476682352	17.381103368	17.353975912	17.834173	17.6634210051082	17.6159787871014	17.4542656523364	17.41241776	17.392299384	17.157345832	17.998056648	17.726946016	17.513122752	17.574994072	17.739306992	17.838520888	17.5018152	18.070659208	17.33834724
ABCD3	19.020087864	19.963333032	19.1049778	18.905622024	19.535991048	19.498374848	19.301974432	18.9615106	19.289882152	19.24965012	19.341939352	19.387122912	20.523072912	18.96532468	19.239906112	18.706708	19.398872696	19.530768512	18.942337848	18.895528248	19.366350352
ABCE1	18.616832296	18.508535224	18.532212784	18.507638384	18.661898512	18.676857576	18.544320112	18.5399	18.314399648	18.629556408	18.570831648	18.59437424	18.469729472	18.576615552	18.606913536	18.409512792	18.66010468	18.705994216	18.60216936	18.76075096	18.417553832
ABCF1	18.868022392	18.576827704	18.681653368	18.826337128	18.65397688	18.940213376	18.857964408	18.165094208	18.517846184	18.731635624	18.57460204	18.410516584	19.375060192	18.849776528	18.485373144	18.363622728	18.47260556	18.481126072	19.065530456	18.826723128	19.110466848
ABCF3	18.204103016	18.426094512	18.190757376	18.294086768	18.173416824	18.34736916	18.336453488	17.971455176	18.058652712	18.298912192	18.146167536	18.258266272	18.222930104	18.344069104	18.152148832	18.137529552	18.26787364	18.578859592	17.963459248	18.305501992	18.494902616
ABHD10	18.823010296	18.998773272	19.128948848	18.99740244	18.592134888	18.92771892	18.919871296	18.980547024	19.020950992	18.757011456	19.675081488	19.19724128	19.067680496	18.881422512	19.504505864	18.972152552	18.865843456	19.105765096	18.895713832	19.15269032	19.012335968
ABHD11	19.73585072	20.1319462	19.576428352	19.915624336	19.206474248	19.53222968	19.440113544	19.331688928	19.477790304	19.822986752	19.46948836	19.546988704	19.484266328	19.624601752	19.67301356	19.073456896	19.179246344	19.849820328	19.253350392	19.250216296	19.297082984
ABHD12	19.235745696	19.405380176	18.985554584	19.198066304	19.22150568	19.180711456	19.472648304	18.837920528	19.20572904	19.104737008	19.369015728	19.08783052	19.091722456	18.968788048	19.178682176	18.918946224	19.208216848	18.98964852	18.947514472	18.980734248	19.073506512
ABHD14B	19.855496376	19.836150664	19.038029792	19.549770112	19.136476776	19.1391446	19.171642672	19.368762928	18.758556976	19.307761696	18.985260328	19.078673632	18.848440288	19.446861328	19.25899304	19.3335782	19.54724508	19.242016504	19.289940344	19.63274688	19.09688468
ABHD16A	18.574936944	18.83309844	19.148410584	18.83783004	18.729544368	18.903604704	18.99416244	18.662035288	18.707314592	18.663146864	18.800399032	18.90022048	19.17871764	19.252945064	18.694845016	18.91862224	18.793918024	18.739468416	18.835210392	18.83811456	18.746777768
