"cellType" "correlation" "tissue" "disease" "mrna.algorithm" "prot.algorithm" "matrix" "algorithm"
"B.cells" 0.230769230769231 "normal" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"T4.cells" -0.0725274725274725 "normal" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"T8.cells" 0.446153846153846 "normal" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"DC" 0.428571428571429 "normal" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"Basophil" 0.138461538461538 "normal" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"Eosinophil" 0.186813186813187 "normal" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"Neutrophil" 0.0769230769230769 "normal" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"MO" 0.696703296703297 "normal" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"NK" 0.424175824175824 "normal" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"B.cells" 0.691561770587138 "tumor" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"T4.cells" 0.754778518905097 "tumor" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"T8.cells" 0.361507424090344 "tumor" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"DC" 0.74246480426268 "tumor" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"Basophil" 0.762019743914744 "tumor" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"Eosinophil" 0.586366181410974 "tumor" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"Neutrophil" 0.746374580067189 "tumor" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"MO" 0.730949048152296 "tumor" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"NK" 0.659420492721165 "tumor" "endometrial" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"B.cells" 0.475334281650071 "normal" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"T4.cells" 0.134054054054054 "normal" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"T8.cells" 0.266372688477952 "normal" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"DC" 0.416671408250356 "normal" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"Basophil" -0.309445234708393 "normal" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"Eosinophil" 0.199687055476529 "normal" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"Neutrophil" 0.272944523470839 "normal" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"MO" 0.264267425320057 "normal" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"NK" 0.590953058321479 "normal" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"B.cells" 0.52654238892771 "tumor" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"T4.cells" 0.48391226923337 "tumor" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"T8.cells" 0.431886932804364 "tumor" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"DC" 0.6075378130424 "tumor" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"Basophil" 0.242296508351554 "tumor" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"Eosinophil" 0.0829745508644591 "tumor" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"Neutrophil" 0.294051349097221 "tumor" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"MO" 0.583743209431283 "tumor" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"NK" 0.663395171652052 "tumor" "ccrcc" "mcpcounter" "mcpcounter" "LM9" "mcpcounter-mcpcounter"
"B.cells" -0.23956043956044 "normal" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"T4.cells" -0.0769230769230769 "normal" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"T8.cells" -0.164835164835165 "normal" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"DC" 0.38021978021978 "normal" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"Basophil" -0.164835164835165 "normal" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"Eosinophil" 0.331868131868132 "normal" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"Neutrophil" -0.182417582417582 "normal" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"MO" 0.125274725274725 "normal" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"NK" -0.0681318681318681 "normal" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"B.cells" 0.127156100071118 "tumor" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"T4.cells" 0.182028149697555 "tumor" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"T8.cells" -0.191021105198206 "tumor" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"DC" -0.00222565168552485 "tumor" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"Basophil" -0.0778558155653408 "tumor" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"Eosinophil" 0.146766517357223 "tumor" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"Neutrophil" 0.27947928331467 "tumor" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"MO" -0.160092385218365 "tumor" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"NK" -0.025447928331467 "tumor" "endometrial" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"B.cells" -0.482446657183499 "normal" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"T4.cells" -0.213655761024182 "normal" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"T8.cells" 0.0770128022759602 "normal" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"DC" -0.161507823613087 "normal" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"Basophil" 0.358605974395448 "normal" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"Eosinophil" -0.0143100995732575 "normal" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"Neutrophil" -0.275874822190612 "normal" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"MO" -0.23678520625889 "normal" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"NK" -0.244495021337127 "normal" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"B.cells" 0.167765931068683 "tumor" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"T4.cells" -0.0459707413835854 "tumor" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
"T8.cells" 0.162347000879111 "tumor" "ccrcc" "mcpcounter" "epic" "LM9" "mcpcounter-epic"
