Mixture	B cells	Monocytes	T cells CD4	T cells CD8	NK cells	Dendritic cells	NK T cells	Megakaryocytes	P-value	Correlation	RMSE	Absolute score (sig.score)
CPT0006730001	0.311470541951664	0	2.22067962436759	0	0.0392193958583366	0.0867800770985687	0.0410356381743077	0.245034108009085	0	0.355215438905035	0.940273621169937	2.94421938545955
CPT0001540009	0.568474806278229	0.330986534785254	2.45987708639264	0.0644587486576801	0.155923999226012	1.01608075711383	0.089503250578298	0.254326590250315	0	0.645983524706886	0.765532588893642	4.93963177328226
CPT0024670003	0.57484805890698	0.205675458903767	2.08405288326209	0.273612808296325	0.183530629621813	1.24885638481231	0.240569508088816	0.194649957705484	0	0.700578674900229	0.715794649749929	5.00579568959759
CPT0075560003	1.34296036278896	0.589669214182353	0.569414719119899	0.613123052414553	0.294429975838776	0.712493071089054	0.347617474812155	0.247876923812152	0	0.721383047420089	0.693073118424208	4.7175847940579
CPT0001510001	0.221243901006583	0	2.30076396289233	0.020777463421798	0.058517523333792	0.14849578297681	0.0285387179727139	0.305721137874939	0	0.354072406283868	0.939086471507703	3.08405848947897
CPT0009000003	0	0.192359109179005	2.00077472912965	0.14613304262733	0.244406998571761	1.28676655165836	0	0.24770635623845	0	0.64546588740417	0.76442342567658	4.11814678740456
CPT0006530001	0.421250224256316	0	2.03385385623852	0.192652677511499	0.0824808374142773	0.238584101036542	0	0.273672101955627	0	0.510998098188625	0.873619799163082	3.24249379841278
CPT0000790001	0.235756114244136	0	2.40266859076788	0.103414493052106	0.0367826923308047	0.0888247734923361	0	0.256471053977527	0	0.269090603223818	0.965619400083854	3.12391771786479
CPT0019990003	0.367279687396724	0.335982035125108	1.95549774128712	0.373105345584743	0.534016602340538	1.30347197524067	0	0.277424303589119	0	0.666643793063889	0.745882432156929	5.14677769056402
CPT0010120001	0.0046879889441685	0	2.12731537293977	0.191665627757225	0.0648856140209562	0.378358934954302	0	0.320966081096656	0	0.521695294539675	0.870411194701302	3.08787961971308
CPT0012550003	0.894338285543225	0.709297048875949	1.53936941432723	0	0.297341666204906	1.10830160910154	0.501128258112108	0.173219941735304	0	0.745601991536427	0.668462766349669	5.22299622390027
CPT0009020003	0.1112523504893	0	1.9754324493923	0.131051641181818	0.0594736527870557	0.176210028686035	0	0.236693091594448	0	0.399335870524773	0.925822235317362	2.69011321413096
CPT0088630003	0	0.162512096063931	2.33278076932841	0.0006346110648158	0.215105460351331	0.996993575235729	0	0.282336418130006	0	0.609417670406414	0.794050158432437	3.99036293017422
CPT0092800003	0.188247823033884	0	2.40563929281858	0	0.034186890764773	0.173115528138565	0.0336043288858989	0.276865044353826	0	0.31666309057378	0.950933153244474	3.11165890799553
CPT0023690003	0.499136292698966	0.251859355662521	2.08967817595294	0.223922048618314	0.174175122679695	0.834761967805098	0.278217637367451	0.142954456536402	0	0.629618181678073	0.782570485692549	4.49470505732139
CPT0012670003	0.265990064969027	0.238704525993127	2.07835504243562	0	0.192796542268306	1.22164792960754	0.0893407596513798	0.238656028658368	0	0.683649489263554	0.729947959879249	4.32549089358337
CPT0078510003	0.618676715538894	1.10085693176442	2.06850980045853	0.262334073980138	0.323180788181688	1.22889866371132	0	0.264849984982616	0	0.57596372633019	0.822562410756508	5.86730695861761
CPT0066470004	0	0.076296964099219	2.73745532441715	0	0.133265292012831	1.01556361577463	0.0142908793150362	0.349659959730943	0	0.654033552768387	0.766260984793088	4.32653203534981
CPT0086370003	0.179297072767992	0	2.39458935107159	0.13472863704575	0.0386087287136482	0.066743208735315	0	0.205757155370748	0	0.308724755584883	0.958144399223022	3.01972415370504
CPT0084590001	0.205003002068592	0	2.02639916584583	0.519862197652046	0.115857492578671	0.416987698730282	0	0.256293332425159	0	0.550192129097038	0.856583821749332	3.54040288930058
CPT0010160003	0	0.11372235711195	2.3872140491044	0.0769337408128129	0.150860285530422	0.748010944023227	0	0.275830557735526	0	0.578245986473905	0.822521188232189	3.75257193431834
CPT0014350001	0.309231771725357	0	2.3152461626818	0.0905741536670063	0.0536625853492244	0.115970341204652	0	0.257205958542914	0	0.323282406231056	0.949423774079837	3.14189097317095
CPT0021240003	0	0.59538622751718	2.14633370533133	0	0.357646665319	1.16418375273287	0	0.224970323150772	0	0.614971503527562	0.788861670171421	4.48852067405116
CPT0077500001	0.285190224389495	0.0141200589566664	2.54331816071645	0.0294038122940389	0.0516500288052349	0.0315333404385878	0.00825354655613543	0.257338787848218	0	0.309865131902172	0.956267843530363	3.22080796000483
CPT0002370001	0.148124879356715	0	2.02625539449174	0.167977066266028	0.0521751086764171	0.149017424200535	0	0.309510263403536	0	0.368327429803058	0.934608633003449	2.85306013639497
CPT0012080003	0.207941668474539	0.112710221678525	2.17016886230438	0	0.244535988822136	0.999985413308607	0	0.24938185650302	0	0.665123596762604	0.749696747650344	3.9847240110912
CPT0079000001	0.232565753089286	0	1.98991833033171	0.236959830207971	0.0546415301687544	0.0962814498464478	0	0.268792881445717	0	0.312331024708053	0.952851878407012	2.87915977508988
CPT0025290003	0.482516844282126	0.177420377356146	2.1646559869815	0.0252013207929104	0.186830771127008	1.14058109821335	0.199519840663436	0.186185575534806	0	0.763894296702997	0.656824811538228	4.56291181495128
CPT0088760003	0	0.210362557230327	2.16504202019243	0.335787010056354	0.243552748259998	0.635625193213271	0	0.212911068298705	0	0.675674136086169	0.777512033133301	3.80328059725109
