NAME	B	CTL	GMP-like	LSPC-Cycle	LSPC-Primed	LSPC-Quiescent	Mono-like	Monocyte	NK	Plasma	ProMono-like	T	cDC	cDC-like
A2M	1	88.4782545115861	1	1	1	1	1	1	64.5030511793048	1	1	1	1	1
AAGAB	1	1	1	28.3041264640982	1	1	1	1	56.7586911016519	1	21.9638600359091	1	1	1
AAMDC	1	1	1	18.625429786222	1	1	1	1	1	1	1	1	32.568286892186	1
AAR2	1	1	1	1	1	1	1	1	1	1	1	1	34.1862956724869	1
AASDH	41.3125050138192	1	30.1831181675359	27.9191897634809	32.1619288067261	1	1	1	1	1	1	1	1	24.1985844044929
ABCA1	50.912769334854	1	1	1	1	1	36.7594079076441	1	1	1	43.7099675586594	1	47.4247915861305	1
ABCA5	1	1	1	1	1	1	1	1	1	73.2563404472568	25.2348243051834	1	1	1
ABCA7	48.5658600580638	38.6415008857704	1	1	1	1	50.7041503438212	1	1	1	17.4184081174157	1	1	35.8212642147523
ABCB1	1	34.7594406228202	1	1	1	1	1	1	83.2606160122502	1	1	1	1	1
ABCB10	1	1	20.1712775097372	19.2399981436465	1	1	1	1	1	1	29.7052117294035	1	1	1
ABCB7	1	58.3047131065919	29.6288245084197	28.158476686228	36.5272345600325	27.7078274585456	1	1	1	1	33.3829658630329	1	1	21.9587031516548
ABCB9	1	1	1	1	1	1	1	1	1	27.9686116577068	1	1	1	1
ABCC1	1	1	35.6350944610904	42.1329657836314	81.6257912337803	61.0259283283038	1	1	1	1	1	1	1	21.8027913783082
ABCC4	1	1	19.1039017286591	1	34.6445557084899	1	1	1	1	26.9006886075003	1	1	1	1
ABCC5	1	63.1965012929783	1	1	30.069784496437	1	1	1	1	1	1	1	1	1
ABCD4	1	1	33.3045507420369	25.0315328889984	32.9367751761923	28.432376125657	1	1	1	1	1	1	1	1
ABHD13	1	1	1	26.7980777015668	1	1	36.154968426937	1	43.6595244866635	1	27.7568796547109	1	49.0679268640423	26.9693254629381
ABHD14A	1	1	23.0718794183698	25.2352728758344	1	1	1	1	1	46.7010853239035	1	1	1	23.8570829529868
ABHD14B	1	1	27.6252416360146	26.9958611083059	29.926108712463	36.709560654757	1	1	1	1	34.3032868898899	1	1	26.7858019023575
ABHD17A	25.1072371317057	86.5493750084276	1	25.5388299443592	26.2576446387212	1	1	1	114.627650544137	1	1	46.9392895942262	1	1
