NAME	B.cells	T4.cells	T8.cells	DC	Granulocytes	MO	NK.cells
A1BG	4621299.75062716	554619999.027151	162585000.27794	576015001.110102	1440600000.08176	521360000.424295	5199499987.67953
ABHD17A	39541999.9566049	73537499.9630514	213489999.962906	19633999.9679855	29417499.9516658	49326499.9852638	611870001.122084
ABHD17B	120949999.95529	24737999.9723712	64022000.1075797	157519999.645297	845250000.179127	141644999.926251	299219999.500348
ABTB2	5769553.81483487	5390374.68782926	22366499.9839884	4271620.23804654	93102499.9828598	7038399.99344649	5748177.33137153
ACER3	3742000.15974153	4293949.90638286	3546553.21347385	19303500.0547014	4728661.64164823	12329997.3027932	4122749.99123022
ACP3	6034072.21311143	3406378.69317889	4279930.78257733	796846898.210542	111277500.144196	316114999.58482	11488801.2795293
ACSM3	14483712.3013522	90011500.1443002	124299999.757946	8817549.99368492	13337302.7478923	69742999.9200809	5581646.18747405
ACSS2	35155499.9348834	74343499.812384	61859000.1319	631669998.606787	153889999.933495	1322950001.63739	14250796.7478402
ADAM8	6351729.41960695	17591000.0067316	43610500.0142082	90479499.8280208	3360649994.11521	35797499.9638227	219764999.630302
ADAMDEC1	3587483.34074674	235469999.438342	5605083.52383321	7894217.36317261	45493000.040042	3580330.63544848	4931062.73277383
ADGRE2	6725650.00190014	5095434.67666401	3582826.61184344	40573999.9784961	405604999.155947	302735000.311221	3919457.15107012
ADGRE3	4990789.66317799	4102475.94936155	3560355.49105829	4834527.89377393	4638850002.38733	122125000.012675	4017919.99531011
ADGRG1	4270757.78128415	3699585.47548321	22816500.0719054	12662832.9638216	7246692.45023841	9372788.60716474	792315001.712422
ADGRG3	4127350.00255825	3882590.04876037	4610930.51609011	3287304.48015844	3818900003.83827	3235473.80466962	29659432.4226302
ADGRG5	9669318.84357441	5299997.05185196	53985499.9021653	257149999.602322	9094680.10838591	7397047.12189319	236679999.501355
ADPRH	311754999.619001	138330000.123706	125205000.185373	839610001.485288	1488500001.4456	707120000.852459	326139999.167741
AFF3	128219999.625764	7946180.39290872	61404499.9886109	61185499.8303065	115230000.181994	40538499.9739904	67369000.0320663
AGMAT	563535000.861832	609960001.523674	284614999.434995	13328900.1611007	153785999.948287	200689999.705933	268334499.680588
AGTRAP	50162000.0976696	12083949.9805329	76213000.0995945	57305372.595259	303939999.665393	551685000.199317	333065000.197582
AIF1	5364586.64564832	3484175.48721256	2972693.8021142	2312170004.09149	289725000.104719	27683000033.4717	5046556.12231189
AK4	7187651.16694098	4351093.38175702	5251934.49846677	41415999.8836308	33576499.9475817	480624999.672759	32512999.8928197
AKAP5	3557880.82908584	4075725.53059322	3326400.8486949	4004393.38999711	21763499.95476	5439450.28209228	69741000.0650492
ALOX12	2232460.63549779	3213853.8460953	5237310.97935592	2602772.21146895	3453534.39843165	69580999.8149908	3492522.19677321
ALOX5	13982499986.1354	8554379.98129356	6590799.98865374	1207053951.56584	11363500007.9023	10019250010.9424	15824500.0069829
ALOX5AP	4224649994.92242	4262100009.39723	4787350001.13564	7128650006.78968	22102499940.4362	1242100000.32467	3322800007.67147
ALS2	6970632.03107088	3901945.39039772	5354945.74510555	3537727.6151719	35295000.0690096	31246999.9987332	3176262.24843594
AMACR	4801943.19220811	5743444.81083989	2974171.87531852	97834000.2785403	4958733.00849083	5989415.55855542	39124346.4549965
AMPD3	84430396.4085458	77685378.6235371	68959903.1980258	29897493.9046664	234751855.088004	72209929.1730036	26475751.2799822
AMY1A	93832000.0420991	4900252.57170791	2985654.75343219	4548157.8084612	4419720.77967675	7166782.09227096	6703392.51421325
AMY1B	93832000.0420991	4900252.57170791	2985654.75343219	4548157.8084612	4419720.77967675	7166782.09227096	6703392.51421325
AMY2A	93832000.0420991	4900252.57170791	2985654.75343219	4548157.8084612	4419720.77967675	7166782.09227096	6703392.51421325
AMY2B	93832000.0420991	4900252.57170791	2985654.75343219	4548157.8084612	4419720.77967675	7166782.09227096	6703392.51421325
ANKRD22	5482264.69239484	5302705.72470095	3496261.09644873	2184116.79062066	156255000.039039	176699999.682278	4318455.06823037
ANTXR2	43990500.0083902	120880000.298105	77547499.8880506	516369999.529689	360910001.089155	218104999.94806	6507303.70358502
AOAH	6810889.02684164	31885000.0119313	62887999.8599676	522195001.517586	123415000.021528	562545000.203627	1038989998.6536
APOA4	87695000.0391654	21517999991.8897	4469899995.65355	22673500008.5519	36348500112.5866	23544500011.7062	712199997.971727
APOBEC3A	3924692.5677942	3702385.75022817	2994609.58588844	3454470.48296876	5212289.64826973	312177353.676347	3328832.84144622
APOBEC3G	1209899999.44263	1469749999.80951	5261899989.75809	913709999.24473	341869999.194273	1461899997.62769	7136050013.71262
APOBR	55558000.0020241	883835002.332827	2319199997.70187	5844400001.32077	21340999930.7774	13800500044.9956	7140449985.77571
APOL3	154075000.30851	593160001.761413	899234999.896104	131915861.966498	5378864.58334254	441564999.654405	413435000.431324
ARHGAP24	651144999.915352	4661899.99106991	4330045.04130934	49226999.8702147	8362949.98804497	10460721.411824	5188892.44660592
ARHGAP26	31763999.9574494	58786000.0307835	428664999.878494	430205001.218074	301815000.066393	1156799998.94346	695535000.012318
ARHGAP31	111919999.753926	268640000.423206	350570000.216319	546830000.726807	215444999.910454	141215000.194306	357884999.914201
ARID3A	293535000.199077	17447500.0434728	13144105.7600496	189979999.568639	260564999.987633	133510000.280948	12742999.9744876
ARL11	8643100.00535858	3464744.99871914	3187765.79840545	15578628.6597894	126124999.896636	89611500.0063085	7957162.40458973
ARL8A	657140000.773518	438429999.693662	580719999.432315	844074999.097858	3256950002.79608	1793699999.80365	818645000.396882
ARPIN	6493581.50814563	5070456.601683	10080117.9331028	55320500.0732471	21526000.0121362	334935000.899932	8765015.95571615
ARRB1	7505260.59019439	115204246.882675	244209890.080205	117358144.791235	136106077.894654	2179392924.50108	294802536.048584
ARRDC1	35281999.9994556	163115000.212871	218749999.848087	260210000.70601	912499998.83783	809100000.655375	258670000.725959
ARSA	17461000.0274667	467319998.953684	1292750000.19605	223090000.201789	967695002.529483	373855000.21021	1007935002.4088
ARSB	4816699.99870905	2352050.00144912	7305099.99556606	163524999.629357	8867999983.77771	157824999.82736	17624499.9889469
ARSD	7113398.83445078	5595311.48507962	5938915.19651652	100444000.080194	13810761.3575489	192824999.902868	19763599.958796
ASPHD2	8214972.73238503	4699214.06671382	4839352.06304298	369014999.197404	8830547.65808454	300149999.313276	3651974.84577173
ATAD2B	138060000.244494	79765999.9080953	87245500.1709727	994055000.009148	213469999.719959	770514999.419391	439605000.102322
ATF6B	4850103.13670996	5135282.1539976	4801760.33463739	2430376.47801634	48284499.9003124	4681842.85096767	10647699.9779012
ATG16L2	3630182.00660822	5116370.9496138	6072073.61136957	3964773.37784591	36845000.0751308	8806484.17574556	4793846.09197818
ATG4C	102615000.006808	20465000.0326417	28243499.9453828	232539999.903322	177755000.116381	41971000.1021817	45252000.0242407
ATL1	11750499.9933412	17047000.0379782	26894500.0134691	74048499.7958272	165505000.063631	30677500.0278667	20522000.0142319
ATP11A	9423682.12938684	94742499.993958	33668000.0549401	55064500.0849248	152794999.654413	1403700001.35747	12831150.002902
ATP2B3	87747000.1450839	12512500.0071707	12119125.2113957	120510000.202532	3920544.13944037	21062499.9735764	13954988.0092927
ATP6V0D2	43942000.0096807	13349500.0199444	24155500.0318409	118939999.799668	53401500.1067589	414670000.131446	130075000.050618
