genes	B cells	T4 cells	T8 cells	DC	Granulocytes	MO	NK cells
A1BG	11505359.795377893	2200129553.303466	544514375.8501768	932810000.1804206	1370332749.7833502	529640666.8319431	4828762493.759401
A2M	24469157544.32555	18979775533.467506	8467137513.807465	12826562497.780216	14625546658.848288	10468566660.645159	1888967500.132795
A2ML1	10472035.983122937	37503493.81178156	17265171.327767093	30983484.71674619	4075825.3459990323	23848124.7535205	9922906.125211537
AAAS	537365339.2727995	1122106110.5468464	1441437499.2074244	989923749.6336632	381628593.48072284	988644999.8141108	1295249999.7498026
AACS	46425181.83309296	42437312.39371355	77715819.12960462	345459874.92507315	110781598.74812496	152733652.09775606	253313250.3360414
AAGAB	36382220.72981188	61219834.9032437	93332812.5787554	108304124.96279465	22211285.5607643	166398750.02793372	106639375.16063453
AAK1	138368844.33178732	3556222220.5726295	3405318753.5368533	302262249.56687146	1173473334.7003872	791718332.7701176	2133762498.6518788
AAMDC	236417238.3443832	173776463.3546745	139339178.23672295	321261874.67556846	438633083.58728236	233271987.9910793	141957787.58147934
AAMP	427883833.50493115	340736666.74304074	385739999.61428607	401178750.53090686	406216720.0562136	769640832.7838386	429903750.2465863
AAR2	64094557.18922201	130022481.76456234	124896750.03305648	188961749.9240144	23236692.16092888	185689999.92735863	149117499.95759088
AARS1	6919883337.9954	5584994441.824895	5833237502.09073	6306100008.421964	2458645834.815527	4267841668.108999	4072137499.6007137
AARS2	744002517.8999678	739062972.2356055	1138976875.867069	747901249.4742085	177984311.69011495	642021666.9755843	660176250.739727
AARSD1	451964999.5350577	418640166.7826343	441898937.36725116	579151250.5563684	45983250.19620163	184590750.01116621	360673750.32174224
AASDHPPT	468529609.26952106	665946389.05432	849254376.4029907	1014627499.0141892	519553008.3077565	559442499.8976694	722915000.4392358
AASS	259964003.46105734	216793495.58597687	295630625.68554264	127670918.18788525	69417100.15388693	91041265.57563627	159062500.09099433
AATF	462041148.3141439	745654916.7233491	1042142500.305979	232006249.5478735	490162226.03589034	77191453.95638305	559331250.2509937
AATK	7502793.458275345	4253276.686748495	3913118.126604978	4092119.3276737207	3551550.109105268	4950598.20805768	4413382.13062281
ABAT	668415529.4640393	571333110.7328395	600576875.0975293	92781499.98957478	230927250.15288225	119883999.87780099	855021250.1769623
ABCA1	125130836.97499196	70720759.46296127	40292878.87233247	11880962.209465964	90757676.40757954	295587675.37427175	35343538.379720576
ABCA13	1400770000.6267855	558877387.3762821	344844048.25817317	1425600000.0248592	755704999.6665306	222242249.74683416	1987124996.9885151
ABCA7	3896587.4856254994	34544013.87370139	24990632.001541317	82557849.69532397	70766796.67474012	187882102.95667306	76316608.76606224
ABCB1	308504390.79275614	54631580.91640239	843037625.2349387	40195499.97296551	67762763.286677	25870951.869505614	2719931249.902627
ABCB10	259763333.4698775	283617166.5150109	239378749.79105315	406793749.8768345	217230499.8506508	721842500.0797544	534613874.7217063
ABCB6	53086717.83837104	45203651.866987534	30815349.794801038	40724313.12672158	51431217.85386761	21901999.971726652	65482459.13444236
ABCB7	873327583.483354	1079187777.4958124	1317160624.99701	904266250.2004416	321763500.00978416	1276662497.7476125	1127967499.9221163
ABCB8	173398749.89895317	147685852.80038932	176660625.07151648	197811875.3011053	76560788.74220884	207946416.82788324	139489000.030428
ABCC1	180478083.30633798	550669472.300779	468272499.8236062	380593749.82738435	3010604580.5983734	653674999.6673299	458953374.86364436
ABCC10	11589532.52253984	27205734.109278273	19209160.823797304	8417770.401935842	15585911.658119591	33524546.10834527	23330439.45434893
ABCC3	52173216.431380145	16554099.00038557	9910321.867683373	21587079.83293452	12349698.629673274	66860659.06390319	17355958.607660707
ABCC4	37847470.919676855	137759089.47832978	92724006.76191857	115618153.7553928	28686365.72201757	127420121.0272535	97106085.62019499
ABCC5	6451967.383700526	4022664.3811907885	3548346.246726256	2918133.570610146	6481210.487288251	4507621.67260916	7089870.863581155
ABCD1	208610882.38922498	109276650.18664485	115679500.02493595	730709999.9264414	333641249.88523406	912244166.9454145	134922749.77296937
ABCD2	466853376.0892516	137724033.11761492	232209750.03152296	41723501.86350784	57202299.592787094	73871761.92644422	96996250.15440449
ABCD3	387736752.57203	745000000.0507942	1008370624.2700801	998095000.5169047	490895833.26815057	1939425000.8611393	833962499.3754755
ABCD4	8539486.756722897	4925578.815281164	9200832.39430059	26994379.545143142	30067071.629980218	19228381.186628334	14324741.354404505
ABCE1	4432500002.963608	5025680558.072251	5817312499.269131	6529162499.564212	514380333.42082435	3158008332.454109	4688687495.925337
ABCF1	4287674996.002274	5294533334.914571	6331518748.308084	3364900001.110254	1897773332.4786787	3312199999.380387	5235574996.438754
ABCF2	1011285834.1055645	1652305278.5024366	2076662500.8043947	1908962500.2951589	281243750.0930927	1300169166.2687097	1590942500.3467355
ABCF3	540076916.9034482	1177586944.2359972	1500581249.9790816	905089998.7873437	548535000.243845	926653332.9461395	1131523749.3865643
ABHD10	389661751.06284004	123767384.89524361	105833210.94918318	152553620.58842653	79722232.59585115	153282572.86461917	115517739.23885056
ABHD11	293711166.5262093	612074999.8899158	519826250.1639737	379092499.40445036	123006615.16762416	978729999.5811404	466971249.9250809
ABHD12	103859969.1461333	402262222.20285684	390463124.9881722	1051189999.7808915	260395583.23428342	799436667.1506511	967210000.1083238
ABHD13	26333836.116666112	41615070.302151054	34218949.716251165	23076232.315344054	34592316.53906879	69424760.13096356	33222672.957969107
ABHD14A-ACY1	157540901.6834248	59592329.87984367	140859874.98488873	259504249.87993327	50294654.90872654	195727250.25006184	254164000.19317383
ABHD14B	3377118330.690372	5928683332.49016	6745387498.025177	4447574998.815369	3560469164.357468	2764183332.153197	3882124997.0520535
ABHD15	7132905.248849924	5685053.672560842	14799842.19780199	24095886.48793872	7276894.105832973	5670421.010342311	11306539.365580233
ABHD16A	382504696.9876675	594780000.0216465	709675625.1193789	969041250.2186161	673722796.0982156	1058101665.8583689	808995000.3967603
ABHD17A	150314545.43212035	83481783.34307903	233849937.48084894	25617668.256775565	27385659.37587404	52704742.262122266	669088749.8852923
ABHD17B	121576400.19599302	33089834.10628524	77074062.48038687	178618749.7386778	1316550916.1011982	134585921.87154803	297093749.78807807
ABHD3	3797759.8591617127	4606300.4830271425	4370681.235202742	3022713.675033422	13482146.94993619	11722526.407679163	66594317.64121145
ABHD4	4767993.461356511	5155552.768890898	4618455.297701309	4653263.4871847555	11944523.360875301	7803934.664280743	4330277.201648576
ABHD5	7639807.609369095	5541156.588750039	3914947.071779084	4419143.496482152	164762589.83713958	17593829.7141393	6514067.50998504
ABHD6	73474169.9956912	17213410.99713434	27005632.92776844	649563624.7574393	47958826.2549542	570177518.6126537	34698550.03267479
