genes	B.cells	T4.cells	T8.cells	DC	Granulocytes	MO	NK.cells
A1BG	13614594.434113426	5228592286.715626	1099283130.431329	790107074.7738875	1173338800.978304	419956797.7824607	3618814511.7458053
A2M	34641665468.049934	36838511249.30554	14567902279.806866	8721043024.765617	12370399869.268875	5099501012.437525	1401923979.7369041
A2ML1	15660993.469691504	48095828.771106295	15478755.797813173	47080030.232054316	1868229.1281401245	24553037.792189162	11479098.017111054
AAAS	352557573.1346119	422596261.6364	270908500.77681774	166669597.9555684	351417267.7546923	332239167.9654968	361673281.30712074
AACS	72687720.47863251	44324581.697452426	82741154.65386578	362319490.80171615	100341222.59713681	164798361.65576625	183714857.6151225
AAGAB	43746063.47303099	37491375.20931515	45132084.1071591	44125649.80507771	17100396.176766187	64387736.61839137	29019712.80467751
AAK1	245657080.40382278	850582703.5165246	1168808678.8627622	225888294.18449107	492483991.7479699	169872072.90599337	648226056.4821492
AAMDC	212176213.05292636	146599438.05761278	150192042.3995551	211893574.57639617	390740473.03898746	193593382.0250501	99957207.96187574
AAMP	238615515.58743867	137637538.64176488	125164009.69343235	154465447.9768369	431810248.0261706	190614245.35039073	115162988.06892318
AAR2	52729114.78019564	53249432.5786741	66685556.64497608	75752906.0779296	27996544.387590017	61949818.68335685	18401283.896704763
AARS1	3679986023.538492	1199503638.5284793	1621926922.0706158	999183455.0373803	1176820765.6606476	1091412110.9100778	519853707.5579784
AARS2	442763634.2484549	290655305.34306115	404865877.08598006	112589077.55325507	108204324.44224407	319619400.7132579	322199016.53545624
AARSD1	107640380.40045127	148116050.5126756	196510915.6207306	102568774.74259236	46777851.61277702	105640806.63216971	108236265.93242835
AASDHPPT	311157789.7756214	181597701.14744234	275762349.7645661	296924156.4766448	237036851.39764094	178855396.60469964	213462499.42989028
AASS	210188893.37461838	208358509.94774204	358672317.5553338	103504328.20153955	62089397.373360366	72970416.7371415	51775055.915172346
AATF	291035551.0645535	345536538.55484647	574501191.8736906	73085330.8645578	1098392355.8745995	86800803.40701222	313782189.2611783
AATK	8666319.626751754	2783121.013155907	2717522.843078841	2632779.6786652124	2102936.581758561	3636571.1806406924	2786726.1511149523
ABAT	668448086.6821958	410080077.4763148	322449526.0128174	61685045.418925576	114397027.28324863	89643898.826265	415741908.10029876
ABCA1	124447672.88224407	103181631.99571486	58590188.4433436	15101093.522636916	69503676.27119803	342209075.144448	43886005.637517646
ABCA13	1171713248.5032334	605597763.6795065	289217110.26713634	1316469623.7125392	1023950925.6749195	254720399.72765663	3086756334.061518
ABCA7	1120815.8441753034	62689615.77698033	26408072.870301157	101960458.12076852	88035437.89426328	560099999.7046108	102291442.99247937
ABCB1	454413810.4502144	70615950.2077226	1109326023.6365771	19172395.734251183	74323363.13042991	24383482.491144285	1499479342.272786
ABCB10	124302443.39959046	142673451.26523617	67150799.27012487	81972167.5482877	85059813.0974247	245619766.9342327	280200278.35162735
ABCB6	60229468.081188254	46029986.84137807	41501218.58161162	37591388.13035243	103555136.7112178	34551956.69689242	48655466.318472266
ABCB7	643822230.5866296	255688441.6511369	237129932.97284603	171879707.46984777	168640473.4063926	393379546.33553606	393717825.1849809
ABCB8	142634302.37206924	148548383.09372383	58650182.74101706	87651942.33348389	85205626.38078085	108931885.38379493	49981845.16073828
ABCC1	111692729.63514502	237952783.31207794	218374787.8989433	157505379.52280912	3702553101.841589	296837934.8060892	348800918.95699435
ABCC10	12404999.841567162	23303255.993179552	18252138.758670896	9197091.635207595	17728557.625273302	18358737.91562397	15882151.086127589
ABCC3	150927033.7491108	10978133.590275941	9091124.52076438	11825920.112079924	8770471.989312192	76240223.35948546	22322082.22097452
ABCC4	32032646.777525917	158873246.8106645	65552156.48477525	89805984.03638838	35072014.57781575	110637815.61778075	100652639.85261533
ABCC5	5649691.652528707	2854979.963946178	2618358.922357781	1369692.8194572325	4268563.900032797	2180946.0053503322	7256865.047544773
ABCD1	133768177.31187336	61716072.49290345	76352775.59226872	384470193.6682175	278027887.6362581	559852590.3570646	83485968.12789369
ABCD2	1102020797.7288659	61560752.60920527	118347474.93023571	39421769.35144026	101851423.05185197	63319716.061337	32182003.72532328
ABCD3	274871991.71507293	261098315.6431719	268114696.29301405	237370363.58821547	166713565.66341755	512296362.5602522	250337339.07235456
ABCD4	13173464.859538974	3020013.4306365163	9141826.149578001	11398095.081689436	35590988.712376006	16595895.205769658	18274854.67372879
ABCE1	1221599363.1509254	1033567462.5631926	2262176245.750539	694233071.8869897	400119686.5625665	397325421.7506828	833209138.2422018
ABCF1	1059433043.3216558	1149213072.0586836	1201135028.2913842	480115820.4976301	657967787.4952444	331244582.9807917	693834286.2369457
ABCF2	437976376.7652436	424386711.5268702	480487334.0522643	377135222.8983524	211960296.56846282	435539986.88754016	295281145.2583489
ABCF3	196949443.69104537	279435616.7847656	439080238.03193307	127391873.82984307	288655038.4972986	254865047.0856836	187593313.6601617
ABHD10	457629687.93921804	65268391.76992034	40606559.83457163	39699510.67319108	52680363.908596896	67039896.21867919	42368444.67674224
ABHD11	206739152.92773962	314574871.08413064	207467607.73008662	94973833.69350606	115732483.37346251	515919450.04823774	112407330.05850089
ABHD12	91800130.84654835	113998356.88648717	97309571.29975969	191454133.47049838	139579129.0210726	324551516.3646295	339239792.5439352
ABHD13	19754508.815688625	27362693.790226374	30249341.964456517	22225521.5067705	39509062.00754224	49175965.40405607	24260166.70254272
ABHD14A-ACY1	126536852.12328117	72179675.80000523	85430069.83519058	150746472.68952596	62744769.474938035	149038131.44664067	239158439.6079196
ABHD14B	2906950775.3401155	1970474429.6042335	3333659789.382918	1632646029.8114982	2786466188.895061	957319977.0010859	1809820925.5979788
ABHD15	6255978.18938494	5351319.7784219645	13228393.545341842	16059854.241015729	4018326.5641442854	4582318.08587329	17012093.856904026
ABHD16A	214225311.96032777	211539886.3069836	109793215.30091797	92601890.59167023	445056248.4227337	483054146.8659636	257687114.54228872
ABHD17A	208536775.82276583	51646765.03406977	123379524.92958762	24372337.612340398	22998051.615501214	28120540.826270305	440206556.6381395
ABHD17B	100008515.73550196	38812182.152967475	37076742.11822477	61175840.803186476	1216501963.0675466	84795876.21339224	70461520.78155498
ABHD3	2042605.0293045102	2996737.947639376	4249374.722748047	1906881.949498095	30960608.536351413	17460337.49887065	162152019.12209904
ABHD4	3080898.406917359	5591266.171228127	2313628.0080301347	3096830.2050670288	23328331.774263844	4896894.301770831	2568845.767105204
ABHD5	8123186.290329911	3391432.6045611827	2013708.8252201586	3615113.981363102	218638356.27630842	9189675.819152685	2441270.1644957187
ABHD6	57557828.231147334	16638061.967110755	18993573.873491332	627981213.6138077	31686666.834548235	893798700.4213964	28092007.233189758
ABI1	836185925.4654152	334546231.89304113	237331192.56768852	1653680513.351254	2088032494.5339687	1006022630.0813394	674377295.906207
ABI2	25500318.995407805	7978414.662285227	7733571.115094031	105893528.88241675	4232334.016253648	5354228.947416898	25257177.3565875
ABI3	914794606.6781739	481187090.61943483	739378241.7141669	1708551280.1147192	1615584877.163112	1422966312.2417006	2198124862.0686345
ABITRAM	6541734.608121716	16937623.784626797	16081060.396951918	20023865.18853926	5869043.867829341	18538173.700388063	33810145.039607994
ABL1	57075963.31304351	55775653.7467647	37755529.98833623	46147838.28463648	167943241.92515683	76665578.16590163	29198760.841827888
ABL2	20802940.77768714	8130290.288131271	9250011.249215221	8167130.019754938	23834457.463933907	25486733.559300147	35927210.212510906
ABLIM1	51642860.64322016	244266425.06247735	459753593.59543175	4243161.718448145	16262385.112657506	8820575.141309114	24627993.73050534
ABLIM3	28647942.246573027	116211735.28226562	115294001.89694378	7095563.512316982	81569811.23360202	15395652.328855481	12861362.282338124
ABR	197794197.94043544	359336434.45415366	492035556.91373146	780383752.0216285	245697358.18393043	456305047.6013379	275537872.0563752
ABRACL	3788628229.277393	4268669433.6828294	3652748028.5778823	1805693355.5816274	4116825426.1406507	2275473173.8957567	3892668069.8434496
