genes	B.cells	T4.cells	T8.cells	DC	Basophil	Eosinophil	Neutrophil	MO	NK
A1BG	0.10426195731610446	0.8399104757707063	0.44985982022231913	0.35784348067871247	0.13573380788168377	0.43913729298294824	0.2864776034261852	0.3344869210996356	0.7233753045497503
A2M	1.4924809830976606	1.1650804862381379	0.7152505522730287	0.5014074401022321	0.1340023084784536	0.5935601836147493	0.08833429082710909	0.34397009035343795	0.20385513493616397
A2ML1	0.6607619540754758	1.3302467168981653	0.6457090046024133	1.2936898210197303	0.10194816607805689	0.23980480422334474	0.0675125076436075	0.8450490337655319	0.5436938189898782
AAAS	0.397828117610336	0.32236048869050227	0.1872160104909481	0.12977723953967696	0.10987726420481315	0.4025667655224813	0.1099444955474735	0.2519987931126122	0.2754077777936479
AACS	0.6331065000257667	0.4742902079012673	0.6216734800593382	1.303844453481357	0.19445507155975753	0.679208154056322	0.9198421236608528	0.7708420342551793	0.7207610149912629
AAGAB	0.5031002937240799	0.45594594333457605	0.4218941485952336	0.39071838696488664	0.02957903005319977	0.30184061718022354	0.17989433870236893	0.5137690286186145	0.24953004230121542
AAK1	0.25740972317306904	0.14895341876125423	0.20211574079945777	0.19837290481117775	0.07359935125671495	0.029993266478957198	0.06985933163237865	0.07517858867415131	0.16263293506148277
AAMDC	0.5839584898064952	0.5142283539224797	0.5457997509724678	0.4714042607148617	0.8827775850005151	0.5177083703076879	0.442088244315871	0.6803432542640361	0.42462605975785683
AAMP	0.5145083726288119	0.29305500236850873	0.27414924744972374	0.3327013839824146	0.5490764765915563	0.569071388918942	0.5567695376041594	0.3568050839974079	0.24032989274611058
AAR2	0.41311463251687025	0.33403372325668224	0.38809557149517016	0.3873157998836698	0.10377073493207074	0.020206483532135427	0.10477022652058923	0.3141542528982213	0.10303952118756937
AARS1	1.5439099592574164	0.4080075835855756	0.6264244633569921	0.3633684598950704	0.1172707480816616	0.10284227486342741	0.05367849233148581	0.3322899728943793	0.15318617451354657
AARS2	0.6108771958229429	0.37250024020966366	0.4375719958668511	0.14119377208574577	0.10041497633904284	0.09526776223245981	0.10094511124531115	0.3845800724629291	0.43058041366958905
AARSD1	0.20305247154165348	0.3254359563832354	0.4071001917635477	0.17328072373963355	0.28666219071568355	0.12363373507165622	0.19644018406355174	0.28389402103009664	0.22545538476611693
