ECM Glycoproteins	Collagens	Proteoglycans	ECM-affiliated Proteins	ECM Regulators	Secreted Factors
ABI3BP	1	0.001	0.001	0.001	0.001	0.001
ADIPOQ	1	0.001	0.001	0.001	0.001	0.001
AEBP1	1	0.001	0.001	0.001	0.001	0.001
AGRN	1	0.001	0.001	0.001	0.001	0.001
AMBN	1	0.001	0.001	0.001	0.001	0.001
AMELX	1	0.001	0.001	0.001	0.001	0.001
AMELY	1	0.001	0.001	0.001	0.001	0.001
BGLAP	1	0.001	0.001	0.001	0.001	0.001
BMPER	1	0.001	0.001	0.001	0.001	0.001
BSPH1	1	0.001	0.001	0.001	0.001	0.001
CDCP2	1	0.001	0.001	0.001	0.001	0.001
CILP	1	0.001	0.001	0.001	0.001	0.001
CILP2	1	0.001	0.001	0.001	0.001	0.001
COCH	1	0.001	0.001	0.001	0.001	0.001
COLQ	1	0.001	0.001	0.001	0.001	0.001
COMP	1	0.001	0.001	0.001	0.001	0.001
CRELD1	1	0.001	0.001	0.001	0.001	0.001
CRELD2	1	0.001	0.001	0.001	0.001	0.001
CRIM1	1	0.001	0.001	0.001	0.001	0.001
CRISPLD1	1	0.001	0.001	0.001	0.001	0.001
CRISPLD2	1	0.001	0.001	0.001	0.001	0.001
CTGF	1	0.001	0.001	0.001	0.001	0.001
CTHRC1	1	0.001	0.001	0.001	0.001	0.001
CYR61	1	0.001	0.001	0.001	0.001	0.001
DDX26B	1	0.001	0.001	0.001	0.001	0.001
DMBT1	1	0.001	0.001	0.001	0.001	0.001
DMP1	1	0.001	0.001	0.001	0.001	0.001
DPT	1	0.001	0.001	0.001	0.001	0.001
DSPP	1	0.001	0.001	0.001	0.001	0.001
ECM1	1	0.001	0.001	0.001	0.001	0.001
ECM2	1	0.001	0.001	0.001	0.001	0.001
EDIL3	1	0.001	0.001	0.001	0.001	0.001
EFEMP1	1	0.001	0.001	0.001	0.001	0.001
EFEMP2	1	0.001	0.001	0.001	0.001	0.001
EGFLAM	1	0.001	0.001	0.001	0.001	0.001
ELN	1	0.001	0.001	0.001	0.001	0.001
ELSPBP1	1	0.001	0.001	0.001	0.001	0.001
EMID1	1	0.001	0.001	0.001	0.001	0.001
EMILIN1	1	0.001	0.001	0.001	0.001	0.001
EMILIN2	1	0.001	0.001	0.001	0.001	0.001
EMILIN3	1	0.001	0.001	0.001	0.001	0.001
EYS	1	0.001	0.001	0.001	0.001	0.001
FBLN1	1	0.001	0.001	0.001	0.001	0.001
FBLN2	1	0.001	0.001	0.001	0.001	0.001
FBLN5	1	0.001	0.001	0.001	0.001	0.001
FBLN7	1	0.001	0.001	0.001	0.001	0.001
FBN1	1	0.001	0.001	0.001	0.001	0.001
FBN2	1	0.001	0.001	0.001	0.001	0.001
FBN3	1	0.001	0.001	0.001	0.001	0.001
FGA	1	0.001	0.001	0.001	0.001	0.001
FGB	1	0.001	0.001	0.001	0.001	0.001
FGG	1	0.001	0.001	0.001	0.001	0.001
FGL1	1	0.001	0.001	0.001	0.001	0.001
FGL2	1	0.001	0.001	0.001	0.001	0.001
FN1	1	0.001	0.001	0.001	0.001	0.001
FNDC1	1	0.001	0.001	0.001	0.001	0.001
FNDC7	1	0.001	0.001	0.001	0.001	0.001
FNDC8	1	0.001	0.001	0.001	0.001	0.001
FRAS1	1	0.001	0.001	0.001	0.001	0.001
GAS6	1	0.001	0.001	0.001	0.001	0.001
GLDN	1	0.001	0.001	0.001	0.001	0.001
HMCN1	1	0.001	0.001	0.001	0.001	0.001
HMCN2	1	0.001	0.001	0.001	0.001	0.001
IBSP	1	0.001	0.001	0.001	0.001	0.001
IGFALS	1	0.001	0.001	0.001	0.001	0.001
IGFBP1	1	0.001	0.001	0.001	0.001	0.001
IGFBP2	1	0.001	0.001	0.001	0.001	0.001
IGFBP3	1	0.001	0.001	0.001	0.001	0.001
IGFBP4	1	0.001	0.001	0.001	0.001	0.001
IGFBP5	1	0.001	0.001	0.001	0.001	0.001
IGFBP6	1	0.001	0.001	0.001	0.001	0.001
IGFBP7	1	0.001	0.001	0.001	0.001	0.001
IGFBPL1	1	0.001	0.001	0.001	0.001	0.001
IGSF10	1	0.001	0.001	0.001	0.001	0.001
KAL1	1	0.001	0.001	0.001	0.001	0.001
KCP	1	0.001	0.001	0.001	0.001	0.001
LAMA1	1	0.001	0.001	0.001	0.001	0.001
LAMA2	1	0.001	0.001	0.001	0.001	0.001
LAMA3	1	0.001	0.001	0.001	0.001	0.001
LAMA4	1	0.001	0.001	0.001	0.001	0.001
LAMA5	1	0.001	0.001	0.001	0.001	0.001
LAMB1	1	0.001	0.001	0.001	0.001	0.001
LAMB2	1	0.001	0.001	0.001	0.001	0.001
LAMB3	1	0.001	0.001	0.001	0.001	0.001
LAMB4	1	0.001	0.001	0.001	0.001	0.001
LAMC1	1	0.001	0.001	0.001	0.001	0.001
LAMC2	1	0.001	0.001	0.001	0.001	0.001
LAMC3	1	0.001	0.001	0.001	0.001	0.001
LGI1	1	0.001	0.001	0.001	0.001	0.001
LGI2	1	0.001	0.001	0.001	0.001	0.001
LGI3	1	0.001	0.001	0.001	0.001	0.001
LGI4	1	0.001	0.001	0.001	0.001	0.001
LRG1	1	0.001	0.001	0.001	0.001	0.001
