gene	B cells	Monocytes	T cells CD4	T cells CD8	NKT cells	Dendritic cells	NK cells	Megakaryocytes
A2M-AS1	2.47669399909583	3.56510927597182	9.65203510807376	21.2500980811329	57.135295260363	5.60898913049477	56.4435732808362	10.7688685696423
AATBC	1.12213166159515	11.2607395211004	1.32296267801927	1.83644153531598	1	4.65134261429448	2.95404859328042	1
AATK	1	2.30329208821335	1.07625957172014	1	1	1.98895143457295	3.1998715275028	8.58172067384218
ABCA2	3.31284321785816	2.83380035489076	6.52435344723806	6.64231062594775	17.4729545367303	1.80934960665609	27.8166881537804	9.30188671351496
ABCA3	1	1.49085514572799	1.53393623128918	2.31923901550239	3.59558165790006	2.46725973132906	4.5861887801153	29.4673411771267
ABCB1	4.24463785572075	1.65865156305126	2.90650577566325	6.11809582747832	28.4658744629376	1	25.145087159358	3.50790617421421
ABCB4	32.3744725527583	2.01925971252339	1.39415229646258	1.6416860569196	1	10.0449856702948	1.82216828798253	7.73550351256509
ABCC3	2.0079771193268	19.1379521623583	2.87402696356171	2.18225406349209	2.57361920344392	7.55552474881522	2.10992349297363	76.2381758957345
ABCD2	2.39655638151445	1.21417582601098	7.75055797290103	10.5117083601733	4.34171412677085	2.38326165636905	1	1
ABHD17A	44.9391217061033	31.0771307783914	44.7428051740371	82.633701179437	143.887243455511	48.6186245239413	340.624997489703	56.9221945030351
ABI3	19.5230607323872	81.6077191798386	17.0233887438203	43.7201871630688	72.7921555330057	111.142432279146	242.184261919434	36.8161403645589
ABLIM3	1	1	1	1.29397515557165	1	1	1	41.0595692063288
ABO	1.59815170827704	1.42794230333047	1.6039806869409	1	1	1	1	23.3042966182102
AC006369-2	2.62386685785779	2.59699173550398	13.453336243339	24.4406126355532	58.0800854199424	1	27.6848552507812	20.4624472081119
AC007386-2	10.6097879971323	1.61989625044576	1	2.26610473555214	1	2.38908181691902	1	1
AC007880-1	10.15972903542	1.40523907980062	1	1	1	1	1	1
AC013264-2	3.11340942996032	3.40207017810585	36.1110027896824	35.7251203511908	39.3624017131147	1.54681382520331	3.83952864413729	11.6738394868018
AC013461-1	7.52034616535061	25.6709597932259	5.17480680474263	4.02166246417295	10.7920761435014	55.6812571113409	1.67610509377578	21.5813399602721
AC020571-3	1.83033584992964	1.23225030163972	9.1516250977418	1.24865082064717	1.9631016496005	1.74306571078694	1.69663012145049	7.73550351256509
AC069363-1	1	2.67697654287983	1.19037436738598	1.32031467713882	1	1.64172660393147	9.386699832787	1
AC078883-3	7.75448542304347	2.03957665130919	3.98483084949328	4.32493165191336	1	1.95809301166957	6.87974048809785	21.4161355678363
AC079767-4	46.5370477681068	1.78457786455215	1.83717273415007	1.4618450261027	1	2.21149857527767	1	1
AC092580-4	3.73433028141307	4.63756549989224	21.4411471847452	89.6487093049362	182.560225435634	1.77884531508966	74.297329465634	19.8143292633146
AC093818-1	5.72206218820575	1.8662923041732	5.53563515351805	6.72169579680198	3.1935276223317	2.93857057560038	4.41927158312776	31.0227223771681
AC114752-3	1	1	1	1	1	1	1	10.7688685696423
AC133644-2	1.53151451591099	1.36889365453014	7.45849221728481	9.49355129289775	3.94908338783649	3.42175107279815	1.93217147480714	1
AC137932-6	1	1	1.18771326573403	1	1	1	1	53.0862285004695
ACOT4	1.66403936208226	1.67932821490316	3.28464829273672	3.76993681587811	7.28826652635118	2.383688526178	13.1273057126807	1
ACRBP	2.54088946320036	6.04117651453801	3.1920130961923	2.2622129926416	3.60494527741886	8.64527852301791	7.03668652207088	612.350877300105
ACSL6	5.52758814968359	2.3242757111709	16.261319649838	15.0710696043726	21.7648758764286	1	3.16517207931135	6.50463765722621
ADAM15	6.61650739355653	45.1466854866164	9.02728114135381	5.3704598520752	15.5045583889831	71.197265390598	15.2128199208318	24.3978786503348
ADAM19	52.9032179289858	17.6980053469191	12.1497495574752	3.79613023523637	8.29902006040496	8.05447221236229	9.40774596036088	10.7900936855392
ADAM28	206.091111226059	7.36200405683123	2.62460736394604	2.73013746921043	8.31469986884924	59.0798885465195	16.2418039498977	20.4812940704402
ADAM8	28.3502128155243	31.7803527239683	29.0180243242418	30.2223509935773	54.0731827402882	95.4110924971284	188.395745698332	27.3003048141371
ADAMTS1	1.56541641788344	1	1.25082232097933	1.3041175694194	2.60305735097979	1	13.4330721925279	1
ADAMTS10	1.8090356230671	1.87046503417117	5.15651459129966	7.56192028530274	4.05502207761213	1.9091305802435	18.1256260174699	3.99466649896534
ADAMTSL4	1.89310237925233	17.4082244563201	2.06713845785015	1.43797979541804	1	10.0237722068594	1	11.5406530752229
ADAP2	11.1809566299447	35.4848618943183	3.08265890644138	2.37671048975721	2.67020750658062	28.6402515737875	3.41800365139201	10.7999558628169
ADARB1	28.0958207389173	3.23100172746232	9.70870792005636	10.9625942986624	11.3331972023389	1	5.58759231938914	1
ADD2	6.14166373194442	2.66659968854453	1.81295809389505	2.36433471601329	1	1	1	1
ADGRA3	1.60515067949344	1.41558831790111	2.36767723208011	1.63893482957914	1	1	8.65638739082912	1
ADGRE2	4.31094947415385	43.9695872010088	3.99140923395324	2.52513600891813	5.10918484371452	23.8901220923673	4.36112629127986	9.31663292801087
ADGRG1	3.47219992477798	1.96339523521915	2.57316765556413	24.4664043924187	30.794894204668	1.72886509873207	252.831770254495	14.9616815858691
ADGRG3	1	1	1	1	1	1	7.83178304357757	1
ADGRG5	6.97181857869493	3.09034825077569	2.16349361847198	6.94887325019217	21.6905097901874	5.01994848885845	42.8907547391314	17.8972222256882
ADORA1	1.07508654099282	2.09101124768466	1	1	1	6.10451948520894	1	1
ADTRP	2.29441851099346	2.27989873855928	37.7637261029639	6.98431635362348	1.5342873568377	1	1.65942094927602	13.5256103998354
AEBP1	12.6746984963123	3.15133999769009	2.98741837073524	5.76224587779967	1.60122891189592	1	2.58277936055714	1
AF131217-1	1	1	1	2.18538231127584	3.76254342124266	1	6.15207111833532	1
AFF3	87.5121451740561	6.60546759768553	6.95149176063726	3.33044361658937	5.67065571411578	33.0755867619358	8.20307482227541	13.3258209615442
AGAP1	1	1	1.67699236357227	1.60073645176666	18.3640529493529	1	9.79724098571882	5.35576114748172
