gene	B cells	Monocytes	T cells CD4	T cells CD8	NK T cells	Dendritic cells	NK cells	Megakaryocytes
A2M-AS1	2.476693999	3.565109276	9.652035108	21.25009808	57.13529526	5.60898913	56.44357328	10.76886857
AATBC	1.122131662	11.26073952	1.322962678	1.836441535	1	4.651342614	2.954048593	1
AATK	1	2.303292088	1.076259572	1	1	1.988951435	3.199871528	8.581720674
ABCA2	3.312843218	2.833800355	6.524353447	6.642310626	17.47295454	1.809349607	27.81668815	9.301886714
ABCA3	1	1.490855146	1.533936231	2.319239016	3.595581658	2.467259731	4.58618878	29.46734118
ABCB1	4.244637856	1.658651563	2.906505776	6.118095827	28.46587446	1	25.14508716	3.507906174
ABCB4	32.37447255	2.019259713	1.394152296	1.641686057	1	10.04498567	1.822168288	7.735503513
ABCC3	2.007977119	19.13795216	2.874026964	2.182254063	2.573619203	7.555524749	2.109923493	76.2381759
ABCD2	2.396556382	1.214175826	7.750557973	10.51170836	4.341714127	2.383261656	1	1
ABHD17A	44.93912171	31.07713078	44.74280517	82.63370118	143.8872435	48.61862452	340.6249975	56.9221945
ABI3	19.52306073	81.60771918	17.02338874	43.72018716	72.79215553	111.1424323	242.1842619	36.81614036
ABLIM3	1	1	1	1.293975156	1	1	1	41.05956921
ABO	1.598151708	1.427942303	1.603980687	1	1	1	1	23.30429662
AC006369-2	2.623866858	2.596991736	13.45333624	24.44061264	58.08008542	1	27.68485525	20.46244721
AC007386-2	10.609788	1.61989625	1	2.266104736	1	2.389081817	1	1
AC007880-1	10.15972904	1.40523908	1	1	1	1	1	1
AC013264-2	3.11340943	3.402070178	36.11100279	35.72512035	39.36240171	1.546813825	3.839528644	11.67383949
AC013461-1	7.520346165	25.67095979	5.174806805	4.021662464	10.79207614	55.68125711	1.676105094	21.58133996
AC020571-3	1.83033585	1.232250302	9.151625098	1.248650821	1.96310165	1.743065711	1.696630121	7.735503513
AC069363-1	1	2.676976543	1.190374367	1.320314677	1	1.641726604	9.386699833	1
AC078883-3	7.754485423	2.039576651	3.984830849	4.324931652	1	1.958093012	6.879740488	21.41613557
AC079767-4	46.53704777	1.784577865	1.837172734	1.461845026	1	2.211498575	1	1
AC092580-4	3.734330281	4.6375655	21.44114718	89.6487093	182.5602254	1.778845315	74.29732947	19.81432926
AC093818-1	5.722062188	1.866292304	5.535635154	6.721695797	3.193527622	2.938570576	4.419271583	31.02272238
AC114752-3	1	1	1	1	1	1	1	10.76886857
